Date,ibov_pnl_cum,single_pnl_cum,total_pnl_cum
2023-01-20,680010.7388334454,-865.2255622732698,679145.5132711726
2023-01-23,686748.8651511439,-1180.8189643680469,685568.0461867764
2023-01-24,463737.7789656955,-863.9710276687779,462873.8079380273
2023-01-25,256415.74533836247,-551.7099736588546,255864.03536470418
2023-01-26,254723.62713650963,-478.8655150487599,254244.76162146142
2023-01-27,212197.95803752565,-362.6694754655795,211835.28856206062
2023-01-30,155675.13714381325,-125.97677031456789,155549.1603734992
2023-01-31,157589.3037184609,26.471009226766682,157615.7747276882
2023-02-01,175137.9562262098,8.258427083043486,175146.21465329337
2023-02-02,152262.42082868726,-33.816144335719976,152228.60468435206
2023-02-03,212167.1881409759,-148.67208173765744,212018.51605923875
2023-02-06,211524.96515486736,-161.043439085525,211363.92171578234
2023-02-07,86415.41615299843,215.61716772645798,86631.0333207254
2023-02-08,191693.4887888882,-598.3761362463782,191095.11265264236
2023-02-09,138472.88867868762,-344.3419050212425,138128.54677366692
2023-02-10,72561.67863174996,93.40179654656941,72655.08042829708
2023-02-13,81556.51497389194,855.4766972750372,82411.99167116753
2023-02-14,131895.10623937682,856.1047489682609,132751.21098834564
2023-02-15,179298.12192147586,603.9354338110556,179902.05735528748
2023-02-16,99937.3491712444,928.7089336588913,100866.05810490386
2023-02-17,-65354.55824353578,1191.9736495758423,-64162.58459395937
2023-02-22,78433.04015453733,782.898571940348,79215.93872647824
2023-02-23,88530.68833353267,712.1036105912449,89242.79194412447
2023-02-24,10881.415371364928,974.2573020123518,11855.672673377834
2023-02-27,-12581.411670673824,1096.3312056463326,-11485.080465026938
2023-02-28,793.3592149950855,1316.1766505600785,2109.5358655557175
2023-03-01,-116762.49110172507,1072.7235136765987,-115689.76758804792
2023-03-02,-88163.81414542571,586.7698170911026,-87577.04432833406
2023-03-03,-469179.6469763252,1372.1363262178324,-467807.5106501068
2023-03-06,-601358.0087077376,1489.926786963693,-599868.0819207733
2023-03-07,-639666.2148954291,1358.3794896136176,-638307.8354058149
2023-03-08,-617579.492387466,1659.6992907503732,-615919.7930967151
2023-03-09,-611443.8986329172,1667.263316716598,-609776.6353162001
2023-03-10,-558293.394802074,1393.8543361478391,-556899.5404659256
2023-03-13,-658361.0768893352,1548.9219152945611,-656812.1549740401
2023-03-14,-691455.1150608449,1518.381531653459,-689936.7335291909
2023-03-15,-694724.9008750574,1534.613169335791,-693190.2877057211
2023-03-16,-680186.4894240181,1175.002945883032,-679011.4864781345
2023-03-17,-693171.1989263234,1287.517267857463,-691883.6816584654
2023-03-20,-848286.6522822719,2501.9755070722076,-845784.6767751991
2023-03-21,-892820.687555927,2698.175286630927,-890122.5122692955
2023-03-22,-904825.000473572,2923.1584695759752,-901901.8420039956
2023-03-23,-758804.016794804,2968.491600981231,-755835.5251938223
2023-03-24,-703673.4736100766,3161.090436066739,-700512.3831740094
2023-03-27,-736146.2122449867,3196.6850026982715,-732949.5272422879
2023-03-28,-678544.0247358187,3051.3641840123532,-675492.6605518059
2023-03-29,-650263.4438586897,3086.0319337834953,-647177.4119249057
2023-03-30,-532305.3546426578,2973.83832098879,-529331.5163216685
2023-03-31,-438554.47097780387,2640.2725593637265,-435914.19841843966
2023-04-03,-553612.2010250397,2224.581932310075,-551387.6190927292
2023-04-04,-566997.7971200624,2254.027510269562,-564743.7696097925
2023-04-05,-694956.8295601768,2818.766368478088,-692138.0631916984
2023-04-06,-745661.8852989095,3044.9831946509034,-742616.9021042583
2023-04-10,-691797.903911949,3069.9258848511695,-688727.9780270976
2023-04-11,58795.106515040505,1394.7426119415982,60189.84912698227
2023-04-12,-65443.17531301649,1818.8652577789053,-63624.31005523741
2023-04-13,-208277.4646619191,2008.8402759584897,-206268.62438596043
2023-04-14,-213444.72177400484,2871.021198520091,-210573.70057548457
2023-04-17,-232060.07651705653,3120.7808207616936,-228939.29569629466
2023-04-18,-276905.3134354778,3106.9347348523015,-273798.3787006253
2023-04-19,-222030.3757991156,3125.566868270394,-218904.80893084506
2023-04-20,-221382.95106650953,3058.189727214584,-218324.76133929478
2023-04-24,-225803.3227015987,2942.294096777823,-222861.02860482072
2023-04-25,-361857.8740226852,3185.1258561199293,-358672.74816656514
2023-04-26,-353227.7182104995,3223.6854455025746,-350004.03276499675
2023-04-27,-446977.933216702,3398.708903302071,-443579.22431339975
2023-04-28,-350517.1480735415,3134.8594347755848,-347382.28863876575
2023-05-02,-125588.34425605816,2617.7917645093753,-122970.55249154859
2023-05-03,-134600.09431884676,3104.9741453606844,-131495.1201734859
2023-05-04,-168954.90505389683,3533.836412803259,-165421.06864109338
2023-05-05,182894.59412667883,2798.1210517664617,185692.71517844545
2023-05-08,186208.954374034,2980.0181176414917,189188.97249167564
2023-05-09,216096.05014268617,3156.7977643597387,219252.8479070461
2023-05-10,12072.305472051667,3390.3892177129997,15462.694689764845
2023-05-11,-57879.37750585994,3313.084625340628,-54566.29288051913
2023-05-12,-155940.40629768118,3566.526812432682,-152373.87948524833
2023-05-15,-165045.46388528973,3619.162543642694,-161426.30134164687
2023-05-16,-133291.63540906162,3713.213778692289,-129578.42163036918
2023-05-17,-92189.4509093674,3624.3072796255688,-88565.14362974168
2023-05-18,-99059.08963944795,3832.911215175506,-95226.17842427228
2023-05-19,-206297.23545663053,4316.354227621456,-201980.8812290089
2023-05-22,-255745.1961630943,4378.990482644619,-251366.20568044952
2023-05-23,-246717.6550763372,4371.850537873393,-242345.80453846365
2023-05-24,-220471.39949382056,4137.20128690557,-216334.19820691482
2023-05-25,-480761.3290935512,4529.948508999275,-476231.3805845517
2023-05-26,-488352.9216899705,4433.932682663887,-483918.9890073064
2023-05-29,-476678.2478112061,4494.6972114597365,-472183.5505997462
2023-05-30,-457001.27862157446,4502.21872512244,-452499.0598964518
2023-05-31,-440266.62179586105,4468.0378355407765,-435798.5839603201
2023-06-01,-412042.62309622427,4353.101240723119,-407689.521855501
2023-06-02,-475730.80151669437,4520.573750867061,-471210.2277658272
2023-06-05,-492517.29880158964,5005.627028984198,-487511.67177260533
2023-06-06,-398703.0712625239,5063.881672667329,-393639.1895898564
2023-06-07,-453897.581677785,5088.904970339699,-448808.6767074452
2023-06-09,-420066.00714367547,4726.708443673542,-415339.2987000018
2023-06-12,-440749.9917356118,4518.149261365103,-436231.8424742466
2023-06-13,-1117286.565914026,5975.409906294763,-1111311.156007731
2023-06-14,-990508.6694748587,6383.839015113368,-984124.8304597451
2023-06-15,-1009841.7090342612,6181.158614635002,-1003660.550419626
2023-06-16,-998922.7079956802,6221.932100595959,-992700.775895084
2023-06-19,-992651.372788173,6040.705318839315,-986610.6674693335
2023-06-20,-982894.3057501459,6080.176315827824,-976814.1294343178
2023-06-21,-1249290.2265922772,6311.4578811046285,-1242978.768711172
2023-06-22,-1139850.081346547,6201.743811148268,-1133648.337535398
2023-06-23,-1159641.2426274994,6117.669098285309,-1153523.5735292134
2023-06-26,-1167004.1052597924,6275.631146924897,-1160728.474112867
2023-06-27,-1193457.362769709,6232.354350956724,-1187225.0084187516
2023-06-28,-1148538.7532797898,6244.9777440180915,-1142293.7755357712
2023-06-29,-1149316.2649110884,6394.87932810254,-1142921.3855829851
2023-06-30,-1469918.958472421,6831.674421245066,-1463087.2840511752
2023-07-03,-1440561.4411402682,6771.204652326028,-1433790.2364879416
2023-07-04,-1407414.6038014563,6861.911284310919,-1400552.6925171446
2023-07-05,-1674003.9365899302,7680.804227529602,-1666323.1323624
2023-07-06,-1512937.9334028892,7567.335148956453,-1505370.598253932
2023-07-07,-1494897.4338176427,7538.066720903018,-1487359.3670967391
2023-07-10,-1447952.3046554127,7483.986967211662,-1440468.3176882004
2023-07-11,-1431349.1472787906,7439.918105261719,-1423909.2291735283
2023-07-12,-1429776.8252985096,7506.2518140514,-1422270.5734844576
2023-07-13,-1375227.407306612,7536.963796749239,-1367690.443509862
2023-07-14,-1313110.7523854023,7643.154563968139,-1305467.5978214336
2023-07-17,-1354145.8542444878,7778.79552366606,-1346367.058720821
2023-07-18,-1350991.4518369369,7819.331119875936,-1343172.1207170603
2023-07-19,-1352049.1089990458,7637.910529477327,-1344411.1984695678
2023-07-20,-1366681.8859956556,7683.374232042015,-1358998.511763613
2023-07-21,-1254581.9315817866,7597.83604715561,-1246984.0955346304
2023-07-24,-1308498.8464728508,7103.125505410522,-1301395.7209674397
2023-07-25,-1342322.4852458697,7193.793123388267,-1335128.6921224808
2023-07-26,-1353546.9509496547,7246.505288123029,-1346300.445661531
2023-07-27,-1112728.2794753637,6544.4375436885475,-1106183.8419316746
2023-07-28,-1219057.4167632845,6594.046302077243,-1212463.3704612067
2023-07-31,-1183366.3756274097,6444.608508882322,-1176921.7671185269
2023-08-01,-1307659.5785537614,6733.1443853439105,-1300926.434168417
2023-08-02,-1417131.8432780355,7023.379279041638,-1410108.4639989934
2023-08-03,-1409893.571963002,6894.356477657869,-1402999.2154853437
2023-08-04,-1474493.6722078705,6406.2999069766265,-1468087.3723008935
2023-08-07,-1494114.8549035883,6545.109898285362,-1487569.7450053026
2023-08-08,-1563597.3030793844,7170.218770114139,-1556427.08430927
2023-08-09,-1549220.671310529,7503.418639686028,-1541717.2526708427
2023-08-10,-1562252.6319016407,7549.349681743867,-1554703.2822198963
2023-08-11,-1734210.3223680481,7788.2593719236165,-1726422.0629961242
2023-08-14,-1688149.1446895543,7848.178834625818,-1680300.9658549284
2023-08-15,-1682157.1335886982,7849.097387686118,-1674308.0362010119
2023-08-16,-1717909.3704031082,7921.021759133603,-1709988.3486439744
2023-08-17,-1709802.144375472,7895.158475706407,-1701906.9858997655
2023-08-18,-1726052.8585699962,8252.272873218686,-1717800.5856967773
2023-08-21,-1758981.6119044211,8421.315262908416,-1750560.2966415125
2023-08-22,-1646758.9023849664,8330.262302201536,-1638428.6400827647
2023-08-23,-1521227.2205710078,7989.005738251602,-1513238.2148327562
2023-08-24,-1495804.6255748116,7953.420664639888,-1487851.2049101717
2023-08-25,-1469821.6378063555,7906.21033872355,-1461915.4274676319
2023-08-28,-1514890.777006172,7594.338843087783,-1507296.4381630842
2023-08-29,-1456748.030253221,7903.328285074865,-1448844.701968146
2023-08-30,-1523314.8226870163,8040.7253198554345,-1515274.0973671607
2023-08-31,-1421074.7912905526,7890.508374963234,-1413184.2829155892
2023-09-01,-1241340.4728332039,7575.980616394149,-1233764.4922168094
2023-09-04,-1410062.9643407094,7790.384461232056,-1402272.5798794772
2023-09-05,-1485510.0946062636,7721.97158806506,-1477788.1230181984
2023-09-06,-1451441.304415693,7721.288714184469,-1443720.0157015084
2023-09-08,-1453372.344745269,7835.949785015284,-1445536.3949602535
2023-09-11,-1360794.035349597,7630.521382821365,-1353163.5139667753
2023-09-12,-1413644.733450747,7723.409792431014,-1405921.3236583157
2023-09-13,-1501708.7571173806,7672.328452077046,-1494036.4286653032
2023-09-14,-1457127.6718692519,7531.386533842747,-1449596.2853354088
2023-09-15,-1446976.5089448965,7523.355716223584,-1439453.1532286727
2023-09-18,-1441491.0647001727,7866.67950150359,-1433624.3851986688
2023-09-19,-1444443.25160299,7968.349963839891,-1436474.9016391498
2023-09-20,-1589450.5205972767,8143.58047838495,-1581306.9401188912
2023-09-21,-1405538.647616838,8367.490283678464,-1397171.1573331591
2023-09-22,-1429439.546722575,8514.191953118558,-1420925.354769456
2023-09-25,-1447594.1659865782,8377.227926541727,-1439216.938060036
2023-09-26,-1559733.5271871882,8814.317807025274,-1550919.2093801624
2023-09-27,-1561029.8017875627,8987.917196654125,-1552041.8845909082
2023-09-28,-1596802.0373642764,8950.858120629295,-1587851.1792436466
2023-09-29,-1571632.540488533,8955.118927445796,-1562677.4215610866
2023-10-02,-1496099.579536497,8862.216838404938,-1487237.3626980912
2023-10-03,-1401683.680092388,8898.310103233856,-1392785.3699891535
2023-10-04,-1429738.5704680223,9101.78114956324,-1420636.7893184582
2023-10-05,-1428265.0368355948,9044.051437438726,-1419220.9853981554
2023-10-06,-1383806.4287591581,8713.107415049111,-1375093.3213441083
2023-10-09,-1346221.4217222375,8548.192112880102,-1337673.2296093567
2023-10-10,-1228527.4678779712,8463.132516483152,-1220064.3353614872
2023-10-11,-1226067.5891722715,8447.58055334686,-1217620.0086189238
2023-10-13,-1220210.9870610498,8307.623870797328,-1211903.3631902516
2023-10-16,-1210116.4246027628,8269.093810073711,-1201847.3307926883
2023-10-17,-1207633.2426525054,8319.59634126799,-1199313.6463112365
2023-10-18,-1067058.3923331546,7980.552388114669,-1059077.8399450392
2023-10-19,-1076711.4799584807,7984.944976605307,-1068726.5349818747
2023-10-20,-1086836.9826682645,7834.112158471222,-1079002.8705097928
2023-10-23,-1229728.0718159187,7526.848582870055,-1222201.223233048
2023-10-24,-1365507.1691635277,7608.743396568525,-1357898.4257669586
2023-10-25,-1376985.4861183364,6840.459014941779,-1370145.027103394
2023-10-26,-1244337.451460754,6605.911450606573,-1237731.5400101468
2023-10-27,-1230843.591873045,6536.496628590692,-1224307.0952444538
2023-10-30,-1297325.9147699033,6625.673549532362,-1290700.2412203702
2023-10-31,-1295948.2588071302,6402.599772398279,-1289545.659034731
2023-11-01,-1248013.0709567703,6464.373869315008,-1241548.6970874546
2023-11-03,-1011740.0408614909,5949.426487911018,-1005790.6143735792
2023-11-06,-1007898.4605748521,5905.067126374632,-1001993.3934484767
2023-11-07,-992780.8155940723,5825.389811283679,-986955.425782788
2023-11-08,-1084606.3039115174,5843.760167379974,-1078762.5437441368
2023-11-09,-1110619.11626777,5642.546650894415,-1104976.569616875
2023-11-10,-1110120.1892188827,5629.313554933616,-1104490.8756639485
2023-11-13,-1153251.0991370252,5491.113973299974,-1147759.9851637247
2023-11-14,-789347.5962031453,4907.489365490901,-784440.106837654
2023-11-16,-791430.8461463198,4905.216276672527,-786525.6298696467
2023-11-17,-814354.0010192092,4907.53038396087,-809446.4706352478
2023-11-20,-801889.6838271891,4894.613908542586,-796995.069918646
2023-11-21,-800917.750833411,4835.416525010219,-796082.3343084003
2023-11-22,-820570.5619105793,4915.202537975001,-815655.3593726038
2023-11-23,-1184747.586893628,5451.485960030219,-1179296.1009335972
2023-11-24,-1123047.899676762,5435.269579096479,-1117612.6300976651
2023-11-27,-1127226.2829816304,5567.673651218864,-1121658.609330411
2023-11-28,-1308650.3215597495,5772.1068997769125,-1302878.2146599723
2023-11-29,-1287337.5914531564,5756.571154486038,-1281581.02029867
2023-11-30,-1315568.1212101816,5755.2903343902735,-1309812.830875791
2023-12-01,-1322023.0462386932,5559.227292469314,-1316463.8189462235
2023-12-04,-1373105.477717147,5642.3688300327,-1367463.1088871139
2023-12-05,-1552417.1274962188,5859.981690058187,-1546557.14580616
2023-12-06,-1450710.568520907,5878.718425754767,-1444831.850095152
2023-12-07,-1468641.4783501844,5954.475608840428,-1462687.0027413436
2023-12-08,-1463005.3361910125,6096.991229273006,-1456908.3449617391
2023-12-11,-1478069.7629758164,6296.042046921783,-1471773.7209288941
2023-12-12,-1539267.383925879,6174.18168533647,-1533093.202240542
2023-12-13,-1225674.7791410214,5601.258976785369,-1220073.5201642357
2023-12-14,-1312032.2673369574,5934.9004754500265,-1306097.366861507
2023-12-15,-1282258.3933646397,5909.420858945846,-1276348.9725056936
2023-12-18,-1316591.0644953984,6126.48943466907,-1310464.5750607292
2023-12-19,-1557753.2042615933,6668.537510268961,-1551084.6667513242
2023-12-20,-1483450.0658663905,6476.279077899747,-1476973.7867884906
2023-12-21,-1530328.2063434504,6596.182561820879,-1523732.0237816295
2023-12-22,-1562824.6060885226,7122.628654465928,-1555701.9774340568
2023-12-26,-1575091.580929714,7352.734511989758,-1567738.8464177244
2023-12-27,-1670764.0020534552,8411.028594836847,-1662352.9734586184
2023-12-28,-1770691.7794687715,8643.475663898646,-1762048.303804873
2024-01-02,-1805921.921233513,8926.234117073816,-1796995.6871164392
2024-01-03,-1870951.9889948016,8881.649361894026,-1862070.3396329076
2024-01-04,-1714151.8884840065,8950.022782406892,-1705201.8657015997
2024-01-05,-1822117.2790083983,8894.01079619314,-1813223.2682122053
