Date,ibov_pnl,single_pnl,total_pnl
2023-12-05,-179311.64977907168,217.6128600254867,-179094.0369190462
2023-12-06,101706.55897531162,18.736735696579697,101725.2957110082
2023-12-07,-17930.909829277243,75.75718308566098,-17855.152646191582
2023-12-08,5636.14215917186,142.51562043257746,5778.657779604438
2023-12-11,-15064.426784803862,199.0508176487774,-14865.375967155083
2023-12-12,-61197.62095006258,-121.86036158531321,-61319.48131164789
2023-12-13,313592.60478485737,-572.9227085511009,313019.68207630626
2023-12-14,-86357.48819593595,333.64149866465806,-86023.84669727129
2023-12-15,29773.873972317626,-25.479616504180633,29748.394355813445
2023-12-18,-34332.67113075881,217.06857572322428,-34115.602555035584
2023-12-19,-241162.1397661948,542.0480755998913,-240620.0916905949
2023-12-20,74303.13839520275,-192.25843236921477,74110.87996283354
2023-12-21,-46878.140477059984,119.90348392113185,-46758.23699313885
2023-12-22,-32496.399745072253,526.4460926450492,-31969.953652427204
2023-12-26,-12266.974841191379,230.1058575238306,-12036.868983667548
2023-12-27,-95672.4211237412,1058.2940828470882,-94614.1270408941
2023-12-28,-99927.7774153164,232.44706906179874,-99695.3303462546
2024-01-02,-35230.14176474141,282.7584531751703,-34947.38331156624
2024-01-03,-65030.06776128872,-44.584755179791365,-65074.652516468515
2024-01-04,156800.10051079508,68.37342051286615,156868.47393130793
2024-01-05,-107965.39052439173,-56.01198621375031,-108021.40251060548
2024-01-08,-327145.5449048152,516.8292671136794,-326628.7156377015
2024-01-09,55336.40147253734,-170.7918591002036,55165.60961343714
2024-01-10,17240.499268594438,143.88821433480692,17384.387482929244
2024-01-11,210.01695374577287,-12.713230404238036,197.30372334153483
2024-01-12,-4985.023741358513,291.7473311903562,-4693.276410168157
2024-01-15,-70830.54267022281,143.56757163724384,-70686.97509858556
2024-01-16,199862.3049324493,15.468936697986486,199877.7738691473
2024-01-17,-269707.06417128025,587.8725762256396,-269119.1915950546
2024-01-18,9144.598261063456,132.14481320493064,9276.743074268386
2024-01-19,-4024.6493278925645,83.13686175162692,-3941.5124661409377
